image,gt_chars,extra_dets
ScreenShot2024_0308_214556794,1,3
ScreenShot2024_0312_125721271,2,2
ScreenShot2025_0206_223220547,2,2
ScreenShot2025_0603_204609748,3,2
ScreenShot2024_0304_090315563,1,1
ScreenShot2024_0307_234427345,1,1
ScreenShot2024_0308_005112729,1,1
ScreenShot2024_0308_213446860,1,1
ScreenShot2024_0311_164506563,0,1
ScreenShot2024_0315_022752829,2,1
ScreenShot2024_0318_000537393,0,1
ScreenShot2024_0318_042821216,1,1
ScreenShot2024_0319_231302640,1,1
ScreenShot2024_0320_012101987,0,1
ScreenShot2024_0321_192133543,0,1
ScreenShot2024_0713_024101310,1,1
ScreenShot2024_0827_234554569,2,1
ScreenShot2025_0125_131526730,0,1
ScreenShot2025_0130_212033220,1,1
ScreenShot2025_0204_011227084,1,1
ScreenShot2025_0204_225011000,1,1
ScreenShot2025_0208_003736920,1,1
ScreenShot2025_0215_011041595,1,1
ScreenShot2025_0216_221714525,2,1
ScreenShot2025_0216_222715591,2,1
ScreenShot2025_0305_232454747,2,1
ScreenShot2025_0309_162552242,0,1
ScreenShot2025_0405_000339306,0,1
ScreenShot2025_0408_233847905,1,1
ScreenShot2025_0413_214012262,1,1
ScreenShot2025_0415_012453695,3,1
ScreenShot2025_0419_181436247,2,1
ScreenShot2025_0426_184513383,1,1
ScreenShot2025_0504_220105529,1,1
ScreenShot2025_0528_233438014,3,1
ScreenShot2025_0603_200652886,1,1
ScreenShot2025_0612_011912060,4,1
ScreenShot2025_0627_010713271,2,1
ScreenShot2025_0628_023556272,2,1
ScreenShot2025_0629_023845185,1,1
ScreenShot2025_0823_013721446,1,1
ScreenShot2025_0824_192859593,1,1
ScreenShot2024_0304_084801113,1,0
ScreenShot2024_0304_085326839,1,0
ScreenShot2024_0304_091035562,1,0
ScreenShot2024_0304_101601331,1,0
ScreenShot2024_0304_115450606,1,0
ScreenShot2024_0304_125900883,1,0
ScreenShot2024_0304_132601889,1,0
ScreenShot2024_0304_135940255,1,0
ScreenShot2024_0304_140439487,1,0
ScreenShot2024_0304_141339663,0,0
ScreenShot2024_0306_044000367,1,0
ScreenShot2024_0306_044155465,1,0
ScreenShot2024_0306_061139730,1,0
ScreenShot2024_0306_061409461,1,0
ScreenShot2024_0306_061603396,1,0
ScreenShot2024_0306_063252448,1,0
ScreenShot2024_0306_063504245,1,0
ScreenShot2024_0306_063620672,1,0
ScreenShot2024_0306_065125233,1,0
ScreenShot2024_0306_065403860,2,0
ScreenShot2024_0306_072505636,1,0
ScreenShot2024_0307_221521994,0,0
ScreenShot2024_0307_222002013,1,0
ScreenShot2024_0307_231754733,2,0
ScreenShot2024_0307_231808909,1,0
ScreenShot2024_0307_232445029,1,0
ScreenShot2024_0307_234250145,1,0
ScreenShot2024_0307_234631394,1,0
ScreenShot2024_0307_234814460,1,0
ScreenShot2024_0308_010752961,1,0
ScreenShot2024_0308_011857425,1,0
ScreenShot2024_0308_205803685,1,0
ScreenShot2024_0308_211525577,1,0
ScreenShot2024_0308_212708501,1,0
ScreenShot2024_0308_212827698,1,0
ScreenShot2024_0308_213038036,0,0
ScreenShot2024_0308_213117869,1,0
ScreenShot2024_0308_214656075,0,0
ScreenShot2024_0308_215355375,1,0
ScreenShot2024_0308_215431925,1,0
ScreenShot2024_0308_222609366,0,0
ScreenShot2024_0308_224314394,1,0
ScreenShot2024_0308_224711314,1,0
ScreenShot2024_0308_225239350,1,0
ScreenShot2024_0308_225451866,1,0
ScreenShot2024_0308_225602151,1,0
ScreenShot2024_0308_225837949,1,0
ScreenShot2024_0308_225929585,1,0
ScreenShot2024_0308_230235733,1,0
ScreenShot2024_0309_181628000,1,0
ScreenShot2024_0309_181735168,1,0
ScreenShot2024_0309_182014073,1,0
ScreenShot2024_0309_182108886,1,0
ScreenShot2024_0309_182135556,0,0
ScreenShot2024_0309_182458255,1,0
ScreenShot2024_0309_195729375,1,0
ScreenShot2024_0309_195833949,1,0
ScreenShot2024_0309_202447540,1,0
ScreenShot2024_0309_202918770,1,0
ScreenShot2024_0309_203305218,1,0
ScreenShot2024_0310_190742775,0,0
ScreenShot2024_0310_191122177,1,0
ScreenShot2024_0310_194737263,1,0
